DATE,CITY,MAX_TEMP_C,MIN_TEMP_C,PRECIPITATION_SUM,WINDSPEED_MAX
2026-05-27,New York,29.0,18.8,0.0,11.4
2026-05-27,London,26.9,16.5,0.0,15.7
2026-05-27,Tokyo,28.1,20.2,0.0,10.5
