DATE,CITY,MAX_TEMP_C,MIN_TEMP_C,PRECIPITATION_SUM,WINDSPEED_MAX
2026-06-03,New York,29.0,15.6,0.0,13.1
2026-06-03,London,18.4,12.8,4.8,27.6
2026-06-03,Tokyo,19.9,17.3,83.2,26.9
