DATE,CITY,MAX_TEMP_C,MIN_TEMP_C,PRECIPITATION_SUM,WINDSPEED_MAX
2026-05-22,New York,19.8,13.0,0.0,14.5
2026-05-22,London,27.6,15.0,0.0,14.4
2026-05-22,Tokyo,17.7,11.4,2.6,16.4
