DATE,CITY,MAX_TEMP_C,MIN_TEMP_C,PRECIPITATION_SUM,WINDSPEED_MAX
2026-05-28,New York,24.9,17.2,0.1,20.0
2026-05-28,London,30.0,16.3,0.0,12.9
2026-05-28,Tokyo,30.1,22.1,0.5,14.8
