DATE,CITY,MAX_TEMP_C,MIN_TEMP_C,PRECIPITATION_SUM,WINDSPEED_MAX
2026-06-02,New York,26.0,10.8,0.0,19.2
2026-06-02,London,19.5,13.9,15.4,17.1
2026-06-02,Tokyo,26.4,18.1,62.0,16.9
